ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
0,1 - Metrics collector tool,2/4/19,3/15/19,30,0,0,,,1,,,,,
27,"  1.1 - Setup project",2/4/19,2/6/19,3,0,0,,,1.1,,,,,
33,"  1.2 - Implement Logging Component",2/7/19,2/7/19,1,0,0,,27,1.2,,,,,
94,"  1.3 - Setup Docker Containers",2/8/19,2/8/19,1,0,0,,33,1.3,,,,,
35,"  1.4 - Implement Graphy Controller",2/11/19,2/20/19,8,0,0,,94,1.4,,,,,
44,"  1.5 - Implement the File IO",2/21/19,2/25/19,3,0,0,,35,1.5,,,,,
26,"  1.6 - Implement Graph Processor",2/26/19,3/4/19,5,0,0,,44,1.6,,,,,
14,"  1.7 - Setup databases",3/5/19,3/7/19,3,0,0,,26,1.7,,,,,
16,"  1.8 - Implement database repositories",3/8/19,3/12/19,3,0,0,,14,1.8,,,,,
194,"  1.9 - Implement metrics storage",3/13/19,3/15/19,3,0,0,,16,1.9,,,,,
61,2 - Restructuring research questions,3/18/19,3/27/19,8,0,0,,194,2,,,,,
65,"  2.1 - Write question analysis report",3/18/19,3/22/19,5,0,0,,,2.1,,,,,
69,"  2.2 - Report review",3/25/19,3/27/19,3,0,0,,65,2.2,,,,,
2,3 - Data analysis tool,3/28/19,5/17/19,37,0,0,,61,3,,,,,
152,"  2.1 - Quality of tracing analysis",3/28/19,4/3/19,5,0,0,,,3.1,,,,,
159,"    2.1.1 - Time coverability testing",3/28/19,4/1/19,3,0,0,,,3.1.1,,,,,
164,"    2.1.2 - Structure testing",4/2/19,4/3/19,2,0,0,,159,3.1.2,,,,,
10,"  2.2 - Research apropriate analysis algorithms",4/4/19,4/19/19,12,0,0,,152,3.2,,,,,
17,"  2.3 - Setup Jupyter notebooks",4/22/19,4/24/19,3,0,0,,10,3.3,,,,,
84,"  2.4 - Implement proposed solution and gather results",4/25/19,5/17/19,17,0,0,,17,3.4,,,"#000000",,
57,"    2.4.1 - Is there any anomalous service?",4/25/19,5/10/19,12,0,0,,17,3.4.1,,,,,
72,"    2.4.2 - Results gathering",5/13/19,5/17/19,5,0,0,,57,3.4.2,,,,,
196,4 - Writte paper fo NCA 2019,5/20/19,5/29/19,8,0,0,,2,4,,,,,
3,5 - Write final report,5/30/19,6/28/19,22,0,0,,196,5,,,,,
